country,year,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,population,Code,gdp_per_capita,renewable_energy_consumption,co2_per_capita_growth,co2_growth,gdp_growth,renewable_growth,renewable_share,co2_intensity_gdp,population_growth,fossil_dependency,cumulative_co2,log_gdp_per_capita,cluster,Cluster
Spain,2008,335.889,7.265,59.334,173.209,82.523,46235010,ESP,44736.902,9.9720745,-0.09997522299306238,-0.08577004417516554,-0.008276433114298154,0.12434006680821175,0.028832601397588035,0.007508097006806595,0.01578677529610606,99.97116739860242,5641.5830000000005,10.708553988122691,5,0
Spain,2009,296.501,6.358,45.081,161.035,73.68,46635128,ESP,42671.52,12.912886,-0.1248451479697178,-0.11726492978335112,-0.04616730054307305,0.294904686081116,0.04173337585760453,0.006948451801107624,0.008654004833134055,99.9582666241424,5938.084,10.661286997764604,5,0
Spain,2010,282.938,6.04,36.352,156.339,73.623,46840419,ESP,42515.49,16.490276,-0.0500157282164202,-0.045743521944276666,-0.0036565371938941382,0.2770403146128604,0.055072540978060476,0.0066549391762861015,0.004402067900403317,99.94492745902194,6221.022,10.657623759097472,3,0
Spain,2011,283.801,6.039,54.215,146.018,68.024,46997994,ESP,42093.582,15.328785,-0.00016556291390734668,0.003050138192819629,-0.009923630187491539,-0.07043490357590143,0.05124459605385001,0.006742144206211768,0.0033640817773215037,99.94875540394615,6504.823,10.647650561493496,3,0
Spain,2012,278.061,5.914,63.253,134.678,65.077,47018277,ESP,40861.01,15.917162,-0.02069879119059448,-0.020225439656660904,-0.029281708551199048,0.038383798846418626,0.05414402856223041,0.006805044711327497,0.0004315716113330037,99.94585597143777,6782.884,10.617931586617265,3,0
Spain,2013,251.942,5.376,49.191,129.347,59.055,46860345,ESP,40409.99,19.290365,-0.09097057828880617,-0.09393262629423027,-0.01103790630725976,0.21192238917967932,0.07112117685512936,0.006234646432726166,-0.003358949116744503,99.92887882314487,7034.826,10.60683231060899,5,0
Spain,2014,254.181,5.441,54.142,129.902,54.251,46720137,ESP,41147.246,19.445473,0.012090773809523725,0.008886966047741085,0.01824439946656753,0.008040698037595329,0.0710657590502948,0.006177351456279723,-0.002992039431207738,99.9289342409497,7289.007,10.624912277984656,3,0
Spain,2015,270.74,5.799,61.841,136.332,56.603,46683633,ESP,42851.414,16.977324,0.06579672854254737,0.06514649009957463,0.041416331970309805,-0.12692666308502754,0.05900695781530346,0.006318111229655106,-0.0007813333252854049,99.9409930421847,7559.747,10.665493922314615,3,0
Spain,2016,259.625,5.556,45.677,140.243,57.653,46732712,ESP,44063.383,18.117424,-0.04190377651319199,-0.04105414789096551,0.028283057357220587,0.06715428179376204,0.06523102858784006,0.005892080505938457,0.0010513106381415671,99.93476897141215,7819.372,10.693384399070144,3,0
Spain,2017,273.58,5.837,53.598,141.132,62.528,46868543,ESP,45233.24,15.319087,0.05057595392368608,0.053750601829561706,0.026549414056564746,-0.15445556719321685,0.05302573697645503,0.00604820702651413,0.0029065507689773895,99.94697426302355,8092.952,10.71958749377763,3,0
